manufacturer,model,month,trends_interest,trends_source,measured_at
Alfa Romeo,164,2025-08,0.2466,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2025-10,0.3082,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-02,0.3082,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-04,0.3082,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-05,0.7398,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,164,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2025-08,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2025-09,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2025-10,2.1571,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2025-11,1.7256,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2025-12,1.5408,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-01,1.5408,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-02,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-03,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-04,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-05,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-06,2.4652,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,4C,2026-07,2.7734,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,75/Milano,2025-08,0.7398,google_trends,2026-08-29T19:23:31Z
