manufacturer,model,measured_at,status,note
Mercedes-Benz,R107 SL,2026-08-29T20:08:52Z,ok,"48 videos, ~199 matches"
Mercedes-Benz,R129 SL,2026-08-29T20:10:55Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+R129+SL%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&k
Mercedes-Benz,R230 SL,2026-08-29T20:10:43Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+R230+SL%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&k
Mercedes-Benz,Sprinter,2026-08-29T20:13:11Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+Sprinter%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&
Mercedes-Benz,W113 SL,2026-08-29T20:20:08Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W113+SL%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&k
Mercedes-Benz,W124 E-Class,2026-08-29T20:15:01Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W124+E-Class%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage
Mercedes-Benz,W126 S-Class,2026-08-29T20:24:50Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W126+S-Class%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage
Mercedes-Benz,W211 E-Class,2026-08-29T20:20:20Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W211+E-Class%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage
Mercedes-Benz,W212 E-Class,2026-08-29T20:25:52Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W212+E-Class%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage
Mercedes-Benz,W463 G-Class,2026-08-29T20:23:37Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Mercedes-Benz+W463+G-Class%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage
Parts And Automobilia,Parts and Automobilia – Trailers,2026-08-29T20:20:33Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Parts+and+Automobilia+%E2%80%93+Trailers%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&rel
Pontiac,Pontiac GTO,2026-08-29T20:19:07Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Pontiac+GTO%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB
Porsche,911 Carrera 3.2,2026-08-29T20:12:21Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Porsche+911+Carrera+3.2%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en
